,ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,
GO:0022604,BP,GO:0022604,regulation of cell morphogenesis,13/352,291/14611,0.02441504,0.190202387,0.164356624,Arhgap35/Cpne9/Cux1/Dlg1/Ephb2/Gas7/Gna12/Itpka/Mecp2/Ptprd/Reln/Sh3kbp1/Syt2,13,
GO:0031400,BP,GO:0031400,negative regulation of protein modification process,18/352,449/14611,0.024506834,0.190590028,0.16469159,Adgrb1/Bod1l/Camk2n1/Dnaja1/Ephb2/Gnaq/Ncoa7/Ntrk3/Ppp1r9b/Prkcg/Pten/Ptprt/Rgs2/Sh3gl2/Sirpa/Snx25/Tsg101/Ywhab,18,
GO:0022804,MF,GO:0022804,active transmembrane transporter activity,13/352,292/14611,0.025018862,0.194238908,0.167844639,Atp6v1a/Atp6v1e1/Atp6v1g2/Cox8a/Ndufa10/Ndufb7/Ndufs8/Slc17a7/Slc4a4/Slc4a7/Slc4a8/Uqcr11/Uqcrh,13,
GO:0002090,BP,GO:0002090,regulation of receptor internalization,5/352,69/14611,0.025249944,0.19503108,0.168529167,App/Napb/Nsf/Pacsin1/Sh3gl2,5,
GO:0050795,BP,GO:0050795,regulation of behavior,5/352,69/14611,0.025249944,0.19503108,0.168529167,Adora1/Ephb2/Mecp2/Oprl1/Reln,5,
GO:0051937,BP,GO:0051937,catecholamine transport,5/352,69/14611,0.025249944,0.19503108,0.168529167,Gabbr1/Myo5a/Prkcb/Syt2/Syt6,5,
GO:0001894,BP,GO:0001894,tissue homeostasis,10/352,203/14611,0.025475395,0.196104315,0.169456564,Aldh1a1/Ankrd11/Bsg/Ercc6/F2r/Gigyf2/Il20rb/Ildr2/Sh3gl2/Trim32,10,
GO:0097485,BP,GO:0097485,neuron projection guidance,10/352,203/14611,0.025475395,0.196104315,0.169456564,App/Arhgap35/Bsg/Cntn6/Dpysl4/Ephb2/Reln/Rtn4rl1/Scn1b/Tubb3,10,
GO:0001750,CC,GO:0001750,photoreceptor outer segment,4/352,47/14611,0.026197865,0.200801881,0.173515799,Bsg/Map1b/Myo5a/Ptprk,4,
GO:0061337,BP,GO:0061337,cardiac conduction,4/352,47/14611,0.026197865,0.200801881,0.173515799,Ank2/Cacna1c/Ryr2/Scn1b,4,
GO:0007214,BP,GO:0007214,gamma-aminobutyric acid signaling pathway,3/352,27/14611,0.026439948,0.200801881,0.173515799,Gabbr1/Gabra1/Plcl1,3,
GO:0021952,BP,GO:0021952,central nervous system projection neuron axonogenesis,3/352,27/14611,0.026439948,0.200801881,0.173515799,Dclk1/Ephb2/Scn1b,3,
GO:0061003,BP,GO:0061003,positive regulation of dendritic spine morphogenesis,3/352,27/14611,0.026439948,0.200801881,0.173515799,Ephb2/Itpka/Reln,3,
GO:0098801,BP,GO:0098801,regulation of renal system process,3/352,27/14611,0.026439948,0.200801881,0.173515799,Adora1/Coro2b/F2r,3,
GO:1903859,BP,GO:1903859,regulation of dendrite extension,3/352,27/14611,0.026439948,0.200801881,0.173515799,Cpne9/Mecp2/Syt2,3,
GO:1904752,BP,GO:1904752,regulation of vascular associated smooth muscle cell migration,3/352,27/14611,0.026439948,0.200801881,0.173515799,Gna12/Igfbp5/Myo5a,3,
GO:0060997,BP,GO:0060997,dendritic spine morphogenesis,5/352,70/14611,0.026674669,0.201908096,0.174471696,Ephb2/Itpka/Pten/Reln/Wnt7a,5,
GO:0071277,BP,GO:0071277,cellular response to calcium ion,5/352,70/14611,0.026674669,0.201908096,0.174471696,Cpne9/Kcnh1/Syt2/Syt6/Wnk1,5,
GO:0010035,BP,GO:0010035,response to inorganic substance,16/352,389/14611,0.02674531,0.202105394,0.174642183,App/Cpne9/Ercc6/Gdi1/Gpr37/Kcnh1/Mecp2/Mien1/Nfe2l1/Nptx1/Ryr2/Sirpa/Syt2/Syt6/Txn1/Wnk1,16,
GO:0004721,MF,GO:0004721,phosphoprotein phosphatase activity,8/352,148/14611,0.026952772,0.202278104,0.174791424,Dusp5/Ppp3cb/Pten/Ptprd/Ptprk/Ptprr/Ptprt/Ptprz1,8,
GO:0008016,BP,GO:0008016,regulation of heart contraction,8/352,148/14611,0.026952772,0.202278104,0.174791424,Adora1/Ank2/Cacna1c/Dlg1/Rgs2/Rgs4/Ryr2/Scn1b,8,
GO:0048024,BP,GO:0048024,"regulation of mRNA splicing, via spliceosome",6/352,95/14611,0.027178687,0.202278104,0.174791424,Acin1/Celf2/Malat1/Ncl/Rbfox1/Srrm4,6,
GO:0010563,BP,GO:0010563,negative regulation of phosphorus metabolic process,16/352,390/14611,0.027300368,0.202278104,0.174791424,Bod1l/Camk2n1/Dnaja1/Ephb2/Gnaq/Ntrk3/Ppp1r9b/Pten/Ptprt/Rgs2/Sh3gl2/Sirpa/Snx25/Tsg101/Wnk1/Ywhab,16,
GO:0045936,BP,GO:0045936,negative regulation of phosphate metabolic process,16/352,390/14611,0.027300368,0.202278104,0.174791424,Bod1l/Camk2n1/Dnaja1/Ephb2/Gnaq/Ntrk3/Ppp1r9b/Pten/Ptprt/Rgs2/Sh3gl2/Sirpa/Snx25/Tsg101/Wnk1/Ywhab,16,
GO:0000012,BP,GO:0000012,single strand break repair,2/352,11/14611,0.02757121,0.202278104,0.174791424,Ercc6/Smc4,2,
GO:0006020,BP,GO:0006020,inositol metabolic process,2/352,11/14611,0.02757121,0.202278104,0.174791424,Itpka/Mecp2,2,
GO:0009221,BP,GO:0009221,pyrimidine deoxyribonucleotide biosynthetic process,2/352,11/14611,0.02757121,0.202278104,0.174791424,Nme1/Tbpl1,2,
GO:0015816,BP,GO:0015816,glycine transport,2/352,11/14611,0.02757121,0.202278104,0.174791424,Rgs2/Rgs4,2,
GO:0032437,CC,GO:0032437,cuticular plate,2/352,11/14611,0.02757121,0.202278104,0.174791424,Sptan1/Sptbn1,2,
GO:0043008,MF,GO:0043008,ATP-dependent protein binding,2/352,11/14611,0.02757121,0.202278104,0.174791424,Myo5a/Nsf,2,
GO:0045217,BP,GO:0045217,cell-cell junction maintenance,2/352,11/14611,0.02757121,0.202278104,0.174791424,F2r/Mtss1,2,
GO:0045295,MF,GO:0045295,gamma-catenin binding,2/352,11/14611,0.02757121,0.202278104,0.174791424,Ptprk/Ptprt,2,
GO:0097090,BP,GO:0097090,presynaptic membrane organization,2/352,11/14611,0.02757121,0.202278104,0.174791424,Pten/Ptprd,2,
GO:0099545,BP,GO:0099545,trans-synaptic signaling by trans-synaptic complex,2/352,11/14611,0.02757121,0.202278104,0.174791424,Ephb2/Ptprd,2,
GO:1902959,BP,GO:1902959,regulation of aspartic-type endopeptidase activity involved in amyloid precursor protein catabolic process,2/352,11/14611,0.02757121,0.202278104,0.174791424,App/Tmed10,2,
GO:1990635,CC,GO:1990635,proximal dendrite,2/352,11/14611,0.02757121,0.202278104,0.174791424,Gigyf2/Kcnab1,2,
GO:2001223,BP,GO:2001223,negative regulation of neuron migration,2/352,11/14611,0.02757121,0.202278104,0.174791424,Olfm1/Srgap2,2,
GO:0005230,MF,GO:0005230,extracellular ligand-gated ion channel activity,4/352,48/14611,0.028054235,0.205157908,0.177279905,Gabra1/Gria3/Grin2c/Slc17a7,4,
GO:0051018,MF,GO:0051018,protein kinase A binding,4/352,48/14611,0.028054235,0.205157908,0.177279905,Akap12/Nbea/Ryr2/Wasf1,4,
GO:0008135,MF,GO:0008135,"translation factor activity, RNA binding",5/352,71/14611,0.028149682,0.20552441,0.177596604,Eef1b2/Eif1b/Eif4b/Eif4h/Eif5,5,
GO:0015103,MF,GO:0015103,inorganic anion transmembrane transporter activity,6/352,96/14611,0.028425997,0.207208155,0.179051553,Clic6/Gabra1/Slc17a7/Slc4a4/Slc4a7/Slc4a8,6,
GO:0019897,CC,GO:0019897,extrinsic component of plasma membrane,8/352,150/14611,0.028889978,0.208748328,0.180382439,Cdh8/Gna12/Gnaq/Gng3/Kcnab1/Kcnab2/Olfm1/Ryr2,8,
GO:0006779,BP,GO:0006779,porphyrin-containing compound biosynthetic process,3/352,28/14611,0.029097694,0.208748328,0.180382439,Ank1/Atpif1/Sptb,3,
GO:0010719,BP,GO:0010719,negative regulation of epithelial to mesenchymal transition,3/352,28/14611,0.029097694,0.208748328,0.180382439,Pten/Sdhaf2/Trim62,3,
GO:0033014,BP,GO:0033014,tetrapyrrole biosynthetic process,3/352,28/14611,0.029097694,0.208748328,0.180382439,Ank1/Atpif1/Sptb,3,
GO:0043403,BP,GO:0043403,skeletal muscle tissue regeneration,3/352,28/14611,0.029097694,0.208748328,0.180382439,Kpna1/Pkm/Wnt7a,3,
GO:0045823,BP,GO:0045823,positive regulation of heart contraction,3/352,28/14611,0.029097694,0.208748328,0.180382439,Rgs2/Rgs4/Ryr2,3,
GO:0048265,BP,GO:0048265,response to pain,3/352,28/14611,0.029097694,0.208748328,0.180382439,Git2/Prkcg/Reln,3,
GO:0098632,MF,GO:0098632,cell-cell adhesion mediator activity,3/352,28/14611,0.029097694,0.208748328,0.180382439,Bsg/Cntn6/Sirpa,3,
GO:1903580,BP,GO:1903580,positive regulation of ATP metabolic process,3/352,28/14611,0.029097694,0.208748328,0.180382439,App/Gadd45gip1/Slc4a4,3,
GO:1904738,BP,GO:1904738,vascular associated smooth muscle cell migration,3/352,28/14611,0.029097694,0.208748328,0.180382439,Gna12/Igfbp5/Myo5a,3,
GO:0021537,BP,GO:0021537,telencephalon development,10/352,208/14611,0.029460014,0.211013747,0.18234002,Ephb2/Id4/Kirrel3/Ntrk2/Pten/Reln/Rnf7/Rtn4rl1/Srgap2/Zbtb18,10,
GO:0034705,CC,GO:0034705,potassium channel complex,5/352,72/14611,0.029675453,0.211887404,0.183094959,Kcnab1/Kcnab2/Kcnb2/Kcnh1/Kcnj3,5,
GO:0044291,CC,GO:0044291,cell-cell contact zone,5/352,72/14611,0.029675453,0.211887404,0.183094959,Ank2/Dst/Pcdh9/Scn1b/Sptan1,5,
GO:0010038,BP,GO:0010038,response to metal ion,11/352,239/14611,0.030450291,0.21707802,0.187580245,App/Cpne9/Gdi1/Kcnh1/Mecp2/Nfe2l1/Nptx1/Ryr2/Syt2/Syt6/Wnk1,11,
GO:0032652,BP,GO:0032652,regulation of interleukin-1 production,5/352,73/14611,0.031252417,0.219727307,0.189869532,App/F2r/Il16/Sirpa/Tmed10,5,
GO:0098659,BP,GO:0098659,inorganic cation import across plasma membrane,5/352,73/14611,0.031252417,0.219727307,0.189869532,Cacna1c/Dlg1/Kcnj12/Kcnj3/Wnk1,5,
GO:0099587,BP,GO:0099587,inorganic ion import across plasma membrane,5/352,73/14611,0.031252417,0.219727307,0.189869532,Cacna1c/Dlg1/Kcnj12/Kcnj3/Wnk1,5,
GO:0060996,BP,GO:0060996,dendritic spine development,7/352,125/14611,0.031609917,0.219727307,0.189869532,Ephb2/Itpka/Mecp2/Pten/Reln/Srgap2/Wnt7a,7,
GO:0005834,CC,GO:0005834,heterotrimeric G-protein complex,3/352,29/14611,0.031891384,0.219727307,0.189869532,Gna12/Gnaq/Gng3,3,
GO:0006099,BP,GO:0006099,tricarboxylic acid cycle,3/352,29/14611,0.031891384,0.219727307,0.189869532,Idh3b/Mdh2/Sdhaf2,3,
GO:0014741,BP,GO:0014741,negative regulation of muscle hypertrophy,3/352,29/14611,0.031891384,0.219727307,0.189869532,Igfbp5/Rgs2/Rgs4,3,
GO:0032281,CC,GO:0032281,AMPA glutamate receptor complex,3/352,29/14611,0.031891384,0.219727307,0.189869532,Gria3/Olfm1/Shisa8,3,
GO:0055022,BP,GO:0055022,negative regulation of cardiac muscle tissue growth,3/352,29/14611,0.031891384,0.219727307,0.189869532,Pten/Rgs2/Rgs4,3,
GO:0061117,BP,GO:0061117,negative regulation of heart growth,3/352,29/14611,0.031891384,0.219727307,0.189869532,Pten/Rgs2/Rgs4,3,
GO:1900273,BP,GO:1900273,positive regulation of long-term synaptic potentiation,3/352,29/14611,0.031891384,0.219727307,0.189869532,App/Ephb2/Reln,3,
GO:1902186,BP,GO:1902186,regulation of viral release from host cell,3/352,29/14611,0.031891384,0.219727307,0.189869532,Trim32/Trim62/Tsg101,3,
GO:1905360,CC,GO:1905360,GTPase complex,3/352,29/14611,0.031891384,0.219727307,0.189869532,Gna12/Gnaq/Gng3,3,
GO:0004714,MF,GO:0004714,transmembrane receptor protein tyrosine kinase activity,4/352,50/14611,0.031996709,0.219727307,0.189869532,Ephb2/Erbb3/Ntrk2/Ntrk3,4,
GO:0006940,BP,GO:0006940,regulation of smooth muscle contraction,4/352,50/14611,0.031996709,0.219727307,0.189869532,Adora1/Cald1/F2r/Rgs2,4,
GO:0031641,BP,GO:0031641,regulation of myelination,4/352,50/14611,0.031996709,0.219727307,0.189869532,Dlg1/Nkx6-2/Pten/Ptprz1,4,
GO:0050840,MF,GO:0050840,extracellular matrix binding,4/352,50/14611,0.031996709,0.219727307,0.189869532,Lgals3/Ncl/Ntn4/Spock2,4,
GO:2001222,BP,GO:2001222,regulation of neuron migration,4/352,50/14611,0.031996709,0.219727307,0.189869532,Olfm1/Ptprz1/Reln/Srgap2,4,
GO:0002710,BP,GO:0002710,negative regulation of T cell mediated immunity,2/352,12/14611,0.032566553,0.219727307,0.189869532,Il20rb/Ppp3cb,2,
GO:0008474,MF,GO:0008474,palmitoyl-(protein) hydrolase activity,2/352,12/14611,0.032566553,0.219727307,0.189869532,Abhd16a/Abhd17b,2,
GO:0009110,BP,GO:0009110,vitamin biosynthetic process,2/352,12/14611,0.032566553,0.219727307,0.189869532,Akr1a1/Pdxk,2,
GO:0015278,MF,GO:0015278,calcium-release channel activity,2/352,12/14611,0.032566553,0.219727307,0.189869532,Ryr2/Ryr3,2,
GO:0018119,BP,GO:0018119,peptidyl-cysteine S-nitrosylation,2/352,12/14611,0.032566553,0.219727307,0.189869532,Ncoa7/Txn1,2,
GO:0032591,CC,GO:0032591,dendritic spine membrane,2/352,12/14611,0.032566553,0.219727307,0.189869532,Ppp1r9b/Shisa8,2,
GO:0042711,BP,GO:0042711,maternal behavior,2/352,12/14611,0.032566553,0.219727307,0.189869532,Gnaq/Pten,2,
GO:0043121,MF,GO:0043121,neurotrophin binding,2/352,12/14611,0.032566553,0.219727307,0.189869532,Ntrk2/Ntrk3,2,
GO:0043649,BP,GO:0043649,dicarboxylic acid catabolic process,2/352,12/14611,0.032566553,0.219727307,0.189869532,Gad2/Got1,2,
GO:0046933,MF,GO:0046933,"proton-transporting ATP synthase activity, rotational mechanism",2/352,12/14611,0.032566553,0.219727307,0.189869532,Atp5o/Atp6v1a,2,
GO:0061052,BP,GO:0061052,negative regulation of cell growth involved in cardiac muscle cell development,2/352,12/14611,0.032566553,0.219727307,0.189869532,Rgs2/Rgs4,2,
GO:0070831,BP,GO:0070831,basement membrane assembly,2/352,12/14611,0.032566553,0.219727307,0.189869532,Ntn4/Phldb1,2,
GO:0071397,BP,GO:0071397,cellular response to cholesterol,2/352,12/14611,0.032566553,0.219727307,0.189869532,Mlc1/Nfe2l1,2,
GO:0097201,BP,GO:0097201,negative regulation of transcription from RNA polymerase II promoter in response to stress,2/352,12/14611,0.032566553,0.219727307,0.189869532,Nfe2l1/Tmbim6,2,
GO:0098599,MF,GO:0098599,palmitoyl hydrolase activity,2/352,12/14611,0.032566553,0.219727307,0.189869532,Abhd16a/Abhd17b,2,
GO:0110095,BP,GO:0110095,cellular detoxification of aldehyde,2/352,12/14611,0.032566553,0.219727307,0.189869532,Akr1a1/Aldh1a1,2,
GO:1900272,BP,GO:1900272,negative regulation of long-term synaptic potentiation,2/352,12/14611,0.032566553,0.219727307,0.189869532,Adora1/App,2,
GO:1905245,BP,GO:1905245,regulation of aspartic-type peptidase activity,2/352,12/14611,0.032566553,0.219727307,0.189869532,App/Tmed10,2,
GO:0006835,BP,GO:0006835,dicarboxylic acid transport,5/352,74/14611,0.032880977,0.221190433,0.19113384,Adora1/Gabbr1/Grm1/Ntrk2/Slc17a7,5,
GO:0043178,MF,GO:0043178,alcohol binding,5/352,74/14611,0.032880977,0.221190433,0.19113384,Astn2/Nfe2l1/Plcl1/Syp/Syt2,5,
GO:0007623,BP,GO:0007623,circadian rhythm,9/352,183/14611,0.03336268,0.224098356,0.193646619,Adora1/Csnk1e/Id4/Nrip1/Ntrk2/Ntrk3/Oprl1/Prkcg/Pten,9,
GO:0010608,BP,GO:0010608,posttranscriptional regulation of gene expression,17/352,433/14611,0.033584127,0.225252118,0.194643601,App/Barhl2/Celf2/Coa3/Ddx6/Eif5/Gigyf2/Hnrnpa0/Igfbp5/Matr3/Mecp2/Ncl/Pkm/Prr16/Rgs2/Vim/Zc3h7b,17,
GO:0050792,BP,GO:0050792,regulation of viral process,7/352,127/14611,0.0340344,0.227257089,0.196376126,Bsg/Ifitm3/Stat1/Trim32/Trim62/Tsg101/Ubp1,7,
GO:0002011,BP,GO:0002011,morphogenesis of an epithelial sheet,4/352,51/14611,0.034083551,0.227257089,0.196376126,Arhgap35/Pten/Tmeff2/Wnt7a,4,
GO:0045773,BP,GO:0045773,positive regulation of axon extension,4/352,51/14611,0.034083551,0.227257089,0.196376126,Gdi1/Golga4/Map1b/Ntrk3,4,
GO:1901016,BP,GO:1901016,regulation of potassium ion transmembrane transporter activity,4/352,51/14611,0.034083551,0.227257089,0.196376126,Ank2/Dlg1/Kcnab1/Pten,4,
GO:0048525,BP,GO:0048525,negative regulation of viral process,5/352,75/14611,0.034561503,0.230015574,0.198759772,Ifitm3/Stat1/Trim32/Trim62/Ubp1,5,
GO:0022011,BP,GO:0022011,myelination in peripheral nervous system,3/352,30/14611,0.034820198,0.230015574,0.198759772,Arhgef10/Ntrk2/Ntrk3,3,
GO:0032292,BP,GO:0032292,peripheral nervous system axon ensheathment,3/352,30/14611,0.034820198,0.230015574,0.198759772,Arhgef10/Ntrk2/Ntrk3,3,
GO:0034331,BP,GO:0034331,cell junction maintenance,3/352,30/14611,0.034820198,0.230015574,0.198759772,Erc2/F2r/Mtss1,3,
GO:0035308,BP,GO:0035308,negative regulation of protein dephosphorylation,3/352,30/14611,0.034820198,0.230015574,0.198759772,Bod1l/Ppp1r9b/Ywhab,3,
GO:0035335,BP,GO:0035335,peptidyl-tyrosine dephosphorylation,3/352,30/14611,0.034820198,0.230015574,0.198759772,Dusp5/Ptprt/Ptprz1,3,
GO:0051345,BP,GO:0051345,positive regulation of hydrolase activity,17/352,435/14611,0.034852382,0.230015574,0.198759772,Antxr1/App/Arhgap35/Arhgef10/Arhgef7/Dennd1a/Dock9/Eif5/F2r/Gnaq/Ift57/Ntrk3/Rgs4/Rnf7/Srgap2/Stat1/Tbc1d16,17,
GO:0004860,MF,GO:0004860,protein kinase inhibitor activity,4/352,52/14611,0.036247826,0.237115981,0.204895336,Camk2n1/Tesc/Wnk1/Ywhab,4,
GO:0007200,BP,GO:0007200,phospholipase C-activating G protein-coupled receptor signaling pathway,4/352,52/14611,0.036247826,0.237115981,0.204895336,F2r/Gnaq/Grm1/Oprl1,4,
GO:0016328,CC,GO:0016328,lateral plasma membrane,4/352,52/14611,0.036247826,0.237115981,0.204895336,Dlg1/Erbb3/Mtcl1/Sptan1,4,
GO:0016836,MF,GO:0016836,hydro-lyase activity,4/352,52/14611,0.036247826,0.237115981,0.204895336,Car14/Car4/Car7/Echdc2,4,
GO:0032612,BP,GO:0032612,interleukin-1 production,5/352,76/14611,0.03629433,0.237115981,0.204895336,App/F2r/Il16/Sirpa/Tmed10,5,
GO:0097733,CC,GO:0097733,photoreceptor cell cilium,5/352,76/14611,0.03629433,0.237115981,0.204895336,Bsg/Ift57/Map1b/Myo5a/Ptprk,5,
GO:0099634,CC,GO:0099634,postsynaptic specialization membrane,5/352,76/14611,0.03629433,0.237115981,0.204895336,Dlg1/Grin2c/Grm1/Lrrc4/Rgs7bp,5,
GO:0030534,BP,GO:0030534,adult behavior,8/352,157/14611,0.03642286,0.237335025,0.205084615,App/Cacna1c/Gigyf2/Mecp2/Prex2/Pten/Sez6l/Sptbn2,8,
GO:0022411,BP,GO:0022411,cellular component disassembly,14/352,340/14611,0.036432549,0.237335025,0.205084615,Acin1/Atpif1/C1qa/Capza2/Map1b/Napb/Nsf/Plk5/Sh3gl2/Sh3gl3/Sptan1/Sptb/Sptbn1/Tmod2,14,
GO:0048709,BP,GO:0048709,oligodendrocyte differentiation,6/352,102/14611,0.036702257,0.238748975,0.20630643,Id4/Nkx6-2/Ntrk2/Pten/Ptprz1/Tspan2,6,
GO:0030902,BP,GO:0030902,hindbrain development,8/352,158/14611,0.037597412,0.240320996,0.207664835,Ephb2/Mecp2/Rnf7/Sez6l/Slc4a7/Sptbn2/Wnt7a/Zbtb18,8,
GO:0034248,BP,GO:0034248,regulation of cellular amide metabolic process,15/352,374/14611,0.037796262,0.240320996,0.207664835,App/Barhl2/Coa3/Ddx6/Eif5/Gigyf2/Igfbp5/Ncl/Ntrk2/Olfm1/Pkm/Prr16/Rgs2/Tmed10/Vim,15,
GO:0006734,BP,GO:0006734,NADH metabolic process,3/352,31/14611,0.037883104,0.240320996,0.207664835,Idh3b/Ldha/Mdh2,3,
GO:0048710,BP,GO:0048710,regulation of astrocyte differentiation,3/352,31/14611,0.037883104,0.240320996,0.207664835,Id4/Mecp2/Ntrk3,3,
GO:0004698,MF,GO:0004698,calcium-dependent protein kinase C activity,2/352,13/14611,0.03788537,0.240320996,0.207664835,Prkcb/Prkcg,2,
GO:0009148,BP,GO:0009148,pyrimidine nucleoside triphosphate biosynthetic process,2/352,13/14611,0.03788537,0.240320996,0.207664835,Nme1/Tbpl1,2,
GO:0017014,BP,GO:0017014,protein nitrosylation,2/352,13/14611,0.03788537,0.240320996,0.207664835,Ncoa7/Txn1,2,
GO:0042923,MF,GO:0042923,neuropeptide binding,2/352,13/14611,0.03788537,0.240320996,0.207664835,Gpr37/Oprl1,2,
GO:0048143,BP,GO:0048143,astrocyte activation,2/352,13/14611,0.03788537,0.240320996,0.207664835,App/C1qa,2,
GO:0055089,BP,GO:0055089,fatty acid homeostasis,2/352,13/14611,0.03788537,0.240320996,0.207664835,Adora1/Got1,2,
GO:0060123,BP,GO:0060123,regulation of growth hormone secretion,2/352,13/14611,0.03788537,0.240320996,0.207664835,Arhgef7/Gabbr1,2,
GO:0060746,BP,GO:0060746,parental behavior,2/352,13/14611,0.03788537,0.240320996,0.207664835,Gnaq/Pten,2,
GO:0098935,BP,GO:0098935,dendritic transport,2/352,13/14611,0.03788537,0.240320996,0.207664835,Pura/Wasf1,2,
GO:1901201,BP,GO:1901201,regulation of extracellular matrix assembly,2/352,13/14611,0.03788537,0.240320996,0.207664835,Antxr1/Phldb1,2,
GO:1902950,BP,GO:1902950,regulation of dendritic spine maintenance,2/352,13/14611,0.03788537,0.240320996,0.207664835,Abhd17b/App,2,
GO:2000291,BP,GO:2000291,regulation of myoblast proliferation,2/352,13/14611,0.03788537,0.240320996,0.207664835,Malat1/Neu1,2,
GO:0048675,BP,GO:0048675,axon extension,7/352,130/14611,0.037897996,0.240320996,0.207664835,Barhl2/Dclk1/Gdi1/Golga4/Map1b/Ntrk3/Olfm1,7,
GO:0050684,BP,GO:0050684,regulation of mRNA processing,7/352,130/14611,0.037897996,0.240320996,0.207664835,Acin1/Celf2/Malat1/Ncl/Rbfox1/Safb2/Srrm4,7,
GO:0016441,BP,GO:0016441,posttranscriptional gene silencing,5/352,77/14611,0.038079757,0.240800027,0.208078774,Celf2/Ddx6/Gigyf2/Mecp2/Zc3h7b,5,
GO:0045685,BP,GO:0045685,regulation of glial cell differentiation,5/352,77/14611,0.038079757,0.240800027,0.208078774,Id4/Mecp2/Nkx6-2/Ntrk3/Ptprz1,5,
GO:1903076,BP,GO:1903076,regulation of protein localization to plasma membrane,6/352,103/14611,0.038216633,0.241328986,0.208535854,Dlg1/Ephb2/Lgals3/Myo5a/Ppp1r9b/Sptbn1,6,
GO:0051495,BP,GO:0051495,positive regulation of cytoskeleton organization,9/352,188/14611,0.038596932,0.2433915,0.210318102,Arhgef10/Arpc5l/Dlg1/Map1b/Mecp2/Mtss1/Ntrk3/Tenm1/Wasf1,9,
GO:0014013,BP,GO:0014013,regulation of gliogenesis,6/352,104/14611,0.039770313,0.250442497,0.216410971,Id4/Mecp2/Nkx6-2/Ntrk3/Ptprz1/Vim,6,
GO:0002027,BP,GO:0002027,regulation of heart rate,5/352,78/14611,0.039918054,0.250676531,0.216613203,Ank2/Cacna1c/Rgs4/Ryr2/Scn1b,5,
GO:0072384,BP,GO:0072384,organelle transport along microtubule,5/352,78/14611,0.039918054,0.250676531,0.216613203,Arhgap21/Lamp1/Map1b/Mecp2/Wasf1,5,
GO:0071241,BP,GO:0071241,cellular response to inorganic substance,8/352,160/14611,0.040022289,0.250983481,0.216878443,Cpne9/Kcnh1/Mecp2/Nfe2l1/Nptx1/Syt2/Syt6/Wnk1,8,
GO:0014704,CC,GO:0014704,intercalated disc,4/352,54/14611,0.040809298,0.254695819,0.220086328,Ank2/Dst/Scn1b/Sptan1,4,
GO:0061001,BP,GO:0061001,regulation of dendritic spine morphogenesis,4/352,54/14611,0.040809298,0.254695819,0.220086328,Ephb2/Itpka/Pten/Reln,4,
GO:1900271,BP,GO:1900271,regulation of long-term synaptic potentiation,4/352,54/14611,0.040809298,0.254695819,0.220086328,Adora1/App/Ephb2/Reln,4,
GO:0044843,BP,GO:0044843,cell cycle G1/S phase transition,9/352,190/14611,0.040838964,0.254695819,0.220086328,Appl2/Ccnd3/Dlg1/Gigyf2/Id4/Ino80/Pagr1a/Plk5/Pten,9,
GO:0001964,BP,GO:0001964,startle response,3/352,32/14611,0.041078872,0.25479016,0.220167849,Kcnh1/Mecp2/Pten,3,
GO:0001965,MF,GO:0001965,G-protein alpha-subunit binding,3/352,32/14611,0.041078872,0.25479016,0.220167849,F2r/Rgs2/Rgs4,3,
GO:0045777,BP,GO:0045777,positive regulation of blood pressure,3/352,32/14611,0.041078872,0.25479016,0.220167849,Adora1/Camk2n1/Wnk1,3,
GO:0061980,MF,GO:0061980,regulatory RNA binding,3/352,32/14611,0.041078872,0.25479016,0.220167849,Matr3/Mecp2/Zc3h7b,3,
GO:0032675,BP,GO:0032675,regulation of interleukin-6 production,6/352,105/14611,0.041363534,0.256205277,0.221390672,App/Bsg/F2r/Il16/Ncl/Sirpa,6,
GO:0003014,BP,GO:0003014,renal system process,5/352,79/14611,0.041809452,0.258613994,0.223472079,Adora1/Cacna1c/Coro2b/F2r/Oprl1,5,
GO:0048193,BP,GO:0048193,Golgi vesicle transport,11/352,252/14611,0.042124987,0.260210754,0.224851862,Ank1/Cux1/Golga4/Lamp1/Myo5a/Nbea/Nsf/Rab6a/Sptbn1/Tmed10/Trip11,11,
GO:0000381,BP,GO:0000381,"regulation of alternative mRNA splicing, via spliceosome",4/352,55/14611,0.043206619,0.263731339,0.22789405,Celf2/Malat1/Rbfox1/Srrm4,4,
GO:0001540,MF,GO:0001540,amyloid-beta binding,4/352,55/14611,0.043206619,0.263731339,0.22789405,Ephb2/Gria3/Itm2c/Olfm1,4,
GO:0017111,MF,GO:0017111,nucleoside-triphosphatase activity,17/352,447/14611,0.043210637,0.263731339,0.22789405,Arhgap35/Atp5o/Atp6v1g2/Carns1/Diras2/Gna12/Gnaq/Gng3/Ino80/Nsf/Psmc5/Rab6a/Smc4/Tuba1b/Tuba4a/Tubb3/Tubb5,17,
GO:0005003,MF,GO:0005003,ephrin receptor activity,2/352,14/14611,0.043509272,0.263731339,0.22789405,Ephb2/Ntrk3,2,
GO:0006103,BP,GO:0006103,2-oxoglutarate metabolic process,2/352,14/14611,0.043509272,0.263731339,0.22789405,Got1/Idh3b,2,
GO:0010882,BP,GO:0010882,regulation of cardiac muscle contraction by calcium ion signaling,2/352,14/14611,0.043509272,0.263731339,0.22789405,Ank2/Ryr2,2,
